"","ResponseId","email_timing","email","Q1","Q2","Q3","Q5","Q6","Q7","Q9","Q10","Q11","Q13","Q14","Q15","Q16","Q18","Q19","Q20"
"151","R_30l8GXXe643f6VR",1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
"152","R_31KuxfPmslgndZ0",0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"153","R_31Wye3iSGTGIMVI",0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0
"154","R_31hj1UI83RX393k",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
"155","R_32WSh8008l2VJvD",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"156","R_3314ItInwb829md",0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0
"157","R_339HIzw9aqJeaOJ",0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0
"158","R_33jwcvNqJRfPNty",0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
"159","R_3CPi5JzPHCG5DaK",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"160","R_3CQp29zpO9DPeh7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","R_3DiuE4UVpcjyMHV",1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"162","R_3Evi4wHokUsmEM8",1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1
"163","R_3FPtyw4w79pD6Hf",1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
"164","R_3FXz56E0LAJcLJT",0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
"165","R_3Gp4yPBlfpUaNbu",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"166","R_3Hv52OlstB5QNnt",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"167","R_3IQ9YEW6PevF9mD",1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
"168","R_3IYmCENI0cP8yKa",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"169","R_3IbpMtbwGyVxpGg",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
"170","R_3J43aO0pzWFKH1Z",1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"171","R_3J4TAQkJQadaRi4",0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0
"172","R_3JwQoEQQMpod4Tv",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","R_3KISBvACOeRn0Yk",0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"174","R_3Kx5tsjFi6RIqB3",0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1
"175","R_3MJWp7ksEq6kZJ6",0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1
"176","R_3MiCK8tRsw0V8ir",0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"177","R_3MsNjm1CLc8laF0",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"178","R_3NCjzFiF0JK2GqL",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"179","R_3NEUACyjoJ3yFDo",1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1
"180","R_3NwGOwnMNVNkBRQ",1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"181","R_3Oi8DOTeBaMqdPS",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"182","R_3OqvwpcqDC2CB2K",0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
"183","R_3PB68V4Xa59fSDh",1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0
"184","R_3PXo429RzNXqibr",0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"185","R_3PoboB0JtJQ7LCu",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
"186","R_3PtWSMTVkzzjJEi",0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
"187","R_3PvllMlguAlkQTX",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
"188","R_3QPHtO8svWiJyiY",0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0
"189","R_3QRE6Tw3DWAtm56",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"190","R_3QXgq80PZW5yM6O",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"191","R_3Rykt7hRcZVWv3e",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"192","R_3dG4gphhI2l4Ynb",1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"193","R_3e2MekjCpI3vUkr",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"194","R_3eq9yf1mL6XY3w6",1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"195","R_3ewBJoYiMsM7GEi",0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
"196","R_3fCS4JprvxNDAK6",1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"197","R_3fMG9MCYkLbaEg5",0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"198","R_3fTXVXl2pnqCnUf",1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0
"199","R_3g71JMXXwft3ZGy",0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"200","R_3hA56B82RpMX8eN",1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
"201","R_3hbdx2OqSK4tsrk",1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"202","R_3hihEW9ayLyUdhm",1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0
"203","R_3hovUejj50eBYyD",0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0
"204","R_3iVTgBqxutxHsJb",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"205","R_3iVvIsisZSGYhIz",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"206","R_3j07DoZzRrNFfU9",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"207","R_3kmMsRjMzB99jMc",1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1
"208","R_3lPxl0yHrv7prVf",1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"209","R_3n9hYgeRFmMhfpO",1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1
"210","R_3nMI7wEV5uz9A0O",1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
"211","R_3nN6ImxDIZ564Ya",0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"212","R_3nOBoLSOdtxCne7",1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
"213","R_3njCPcgrh12xuNw",1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"214","R_3p3Gcrnd7WuJ0DY",0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
"215","R_3qJXNwqWbvNYLCl",0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"216","R_3qg68ViG7vnYipm",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","R_3qkhbo6AOM9D5pr",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"218","R_3rNCm8PdpcAJjJT",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"219","R_3rZN9sb2Y6YiX8k",1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0
"220","R_3sA23H3awTBQnaH",0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1
"221","R_3szAKE07VpanNAX",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"222","R_3y3zmDciaqjVz4B",0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
"223","R_4MwGWVaUmjoQ21b",0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
"224","R_54MIBcR2U5wbLvb",1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"225","R_5cYBBdkGBpSZhHb",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"226","R_5drrJ8DzGH43N7j",1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"227","R_73g9h1d23hB0yMV",0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"228","R_8J4t60BHIPoCdvH",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"229","R_8Jlv9rnqFuovBnz",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"230","R_8iSofOu6WQVuSbL",0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1
"231","R_8ib3wZsjCyiZMzv",0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
"232","R_9ThE9A7wgwKY6Kl",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"233","R_9nIoVPwaYK75cvn",1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"234","R_9yvX2hU3xm8sLoB",0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"235","R_A7myoFOuBy1e9r3",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"236","R_AGVbd159nAPkAXD",1,0,0,0,0,0,1,0,0,1,1,1,1,0,NA,1,1,0
"237","R_AajpMrB91ofvKoh",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
"238","R_AsRSiV7xA4dO9gd",0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"239","R_BFi6pChJl11wVbj",1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"240","R_BJT05TIIdvxmFc5",0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
"241","R_BWI2tr4re5G9yp3",0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
"242","R_Bt6CJCnO6o2uDoR",1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
"243","R_C1di4VFON4I7OSJ",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"244","R_CfwWridUHT6Gelj",0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1
"245","R_DCbcWUmkjByxuYp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"246","R_DIFP7KouN95Ngd3",1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0
"247","R_DTuLKbjCvuhWOdz",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"248","R_DxgQt7YAm311VCh",1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
"249","R_O0Bo2mNm3iOdfEJ",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"250","R_O6WYH6n5xEfc2Jj",0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"251","R_Oj8CSPcOn3QKZtD",0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
"252","R_PIKvX9sP7q71oY1",0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0
"253","R_PMuAh1NtrALIhEd",1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
"254","R_QgnQGj5lvq3rZx7",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"255","R_Qn4fP85PfzFZv5n",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"256","R_RCtEvyRIhEnQbW9",1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1
"257","R_RlgFJ3AuHQqSR1f",1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0
"258","R_T2ev83vHjLWbluh",0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
"259","R_T2h0RVB5sxDFWsp",0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1
"260","R_T7q6MgHUwdup2Ex",0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0
"261","R_TdgisIgBfROVuwx",0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
"262","R_UYcWGQESXB0qNlD",1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
"263","R_WAtIRMFY2KMoXL3",0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"264","R_WjqXo3652QsUPx7",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"265","R_XB3pGXHyjKnp8qZ",1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
"266","R_XEUoeKTosSsx0GJ",1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0
"267","R_XNwL9HgWLkNFufL",1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"268","R_XupexIguaPw9ocN",1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
"269","R_Xv7pta2WHcs2JMd",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"270","R_Y3KHl41GS2tPLl7",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"271","R_Z91WO1iPfjr0sdH",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"272","R_ZmAuvZPlDPp9j7H",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"273","R_ZmWgQLngjFiOwaR",0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
"274","R_Zn68jz78unq9dh7",0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
"275","R_aUULXHSBsE23KW5",1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
"276","R_aW84s1VW7MCKEgx",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
"277","R_bw5VETE789cN3I5",1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0
"278","R_czHPnqyG05texFv",1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
"279","R_d4jHoGfsUw9Eqzv",1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"280","R_djqlb78tkCyuPPX",0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"281","R_eG0W4joqWve4oPT",1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
"282","R_eLGGXP9DFZ9jPPj",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"283","R_eldVqg22w8Ck6TD",0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0
"284","R_pLcVPPE5yXMsTQt",0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"285","R_pyfZa2qmvEQOdjj",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"286","R_qwvkXru4VyxMpCF",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287","R_sYTtXOpe7oNvjxL",0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0
"288","R_sZLJ48DqHZrl9kJ",0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0
"289","R_ugnwsSUAzI7Ll3b",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"290","R_uxjh7k2pYqApS37",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
"291","R_vYRez75jRA2mjOV",0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
"292","R_vYtXv3CTFjDbPxf",0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"293","R_wMfK2Ik3jtzSrnP",0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0
"294","R_x3k1qr68EmjFvUt",1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0
"295","R_xbjpjdpF5Bb8LND",0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1
"296","R_yCKb0a4i3vhnsf7",0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0
"297","R_yEGQFC8j3jtPhNn",1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
"298","R_yIxf0IJFWTrpngd",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"299","R_yVKZWRsBPcf14HL",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"300","R_ypYVSwUQBEXklzP",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
"301","R_yvZyF9pWs7UPzjz",1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0
